region	model	apply_clr	n_epochs	n_folds	mean_auroc	std_auroc	mean_pr_auc	std_pr_auc
all	GatedStructuralCFN	True	300	5	0.8121212121212121	0.13619518214693474	0.6405032467532468	0.24809480001517586
TI	GatedStructuralCFN	True	300	5	0.8111111111111111	0.16362973861136823	0.7333333333333334	0.2157029850924131
colon	GatedStructuralCFN	True	300	5	0.9199999999999999	0.08366600265340753	0.8833333333333332	0.11180339887498951
