perm	mean_auc
0	0.4222222222222222
1	0.5444444444444445
2	0.41944444444444445
3	0.3888888888888889
4	0.3111111111111111
5	0.47944444444444445
6	0.7711111111111111
7	0.43499999999999994
8	0.42777777777777776
9	0.4644444444444445
10	0.7238888888888889
11	0.6916666666666667
12	0.43888888888888894
13	0.7916666666666666
14	0.721111111111111
15	0.6111111111111113
16	0.5833333333333333
17	0.7472222222222223
18	0.35277777777777775
19	0.5777777777777777
20	0.625
21	0.4066666666666666
22	0.725
23	0.47777777777777786
24	0.49000000000000005
25	0.538888888888889
26	0.5194444444444445
27	0.3854166666666667
28	0.44722222222222224
29	0.525
30	0.40555555555555556
31	0.47055555555555556
32	0.5
33	0.49333333333333335
34	0.4375
35	0.24833333333333335
36	0.45
37	0.6722222222222222
38	0.41875
39	0.29888888888888887
40	0.31333333333333335
41	0.6799999999999999
42	0.49333333333333335
43	0.7333333333333334
44	0.6599999999999999
45	0.2569444444444444
46	0.325
47	0.8166666666666668
48	0.6583333333333333
49	0.6711111111111112
50	0.625
51	0.63
52	0.53125
53	0.37333333333333335
54	0.5347222222222223
55	0.7388888888888889
56	0.35388888888888886
57	0.5354166666666667
58	0.65
59	0.5811111111111111
60	0.3355555555555556
61	0.35333333333333333
62	0.6125
63	0.7105555555555555
64	0.5833333333333334
65	0.23055555555555554
66	0.39333333333333337
67	0.28125
68	0.46875
69	0.6611111111111111
70	0.6072222222222223
71	0.6166666666666667
72	0.8
73	0.5972222222222222
74	0.4699999999999999
75	0.7150000000000001
76	0.38
77	0.7055555555555555
78	0.4916666666666667
79	0.5854166666666667
80	0.48888888888888893
81	0.7433333333333334
82	0.5605555555555556
83	0.19444444444444445
84	0.3188888888888889
85	0.711111111111111
86	0.3844444444444445
87	0.7849999999999999
88	0.825
89	0.6405555555555555
90	0.5283333333333334
91	0.47111111111111115
92	0.5027777777777778
93	0.42333333333333334
94	0.21875
95	0.5988888888888889
96	0.7322222222222223
97	0.4033333333333333
98	0.475
99	0.9
100	0.586111111111111
101	0.8166666666666668
102	0.41722222222222227
103	0.6916666666666667
104	0.42444444444444446
105	0.47986111111111107
106	0.45
107	0.8333333333333334
108	0.36111111111111116
109	0.20833333333333334
110	0.5772222222222222
111	0.2855555555555556
112	0.3861111111111111
113	0.37777777777777777
114	0.3486111111111111
115	0.4011111111111111
116	0.21333333333333332
117	0.4277777777777778
118	0.40888888888888886
119	0.7048611111111112
120	0.34222222222222226
121	0.4083333333333333
122	0.425
123	0.3844444444444445
124	0.7291666666666667
125	0.4611111111111111
126	0.5173611111111112
127	0.7438888888888889
128	0.6416666666666666
129	0.15944444444444444
130	0.5655555555555555
131	0.595
132	0.775
133	0.4166666666666667
134	0.835
135	0.30944444444444447
136	0.49722222222222223
137	0.4833333333333334
138	0.34500000000000003
139	0.32999999999999996
140	0.655
141	0.3027777777777778
142	0.3083333333333334
143	0.44833333333333336
144	0.6111111111111112
145	0.61
146	0.47777777777777786
147	0.5016666666666667
148	0.4375
149	0.42388888888888887
150	0.6944444444444444
151	0.7951388888888888
152	0.525
153	0.29833333333333334
154	0.3277777777777778
155	0.45777777777777773
156	0.558888888888889
157	0.4444444444444444
158	0.6444444444444445
159	0.2916666666666667
160	0.26666666666666666
161	0.465
162	0.5055555555555555
163	0.5611111111111111
164	0.5266666666666666
165	0.7777777777777778
166	0.7
167	0.7166666666666666
168	0.5333333333333333
169	0.638888888888889
170	0.32611111111111113
171	0.4955555555555556
172	0.4
173	0.18333333333333335
174	0.725
175	0.51
176	0.4166666666666667
177	0.734375
178	0.7838888888888889
179	0.8861111111111111
180	0.47777777777777775
181	0.4444444444444444
182	0.47333333333333333
183	0.7988888888888889
184	0.45499999999999996
185	0.5911111111111111
186	0.7083333333333334
187	0.5666666666666667
188	0.7583333333333334
189	0.5472222222222223
190	0.2875
191	0.5881944444444445
192	0.578888888888889
193	0.5650000000000001
194	0.46722222222222226
195	0.46944444444444444
196	0.7544444444444446
197	0.6483333333333334
198	0.4066666666666666
199	0.34375
