model	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	balanced_accuracy_std	macro_f1_mean	macro_f1_std	runtime_mean_s	runtime_std_s	n_features_selected_mean
logreg	0.818030303030303	0.05890218502980667	0.6937179487179487	0.1386203518361068	0.7604545454545455	0.07357538939551432	0.7503347135955831	0.07638423114116352	0.012218427658081055	0.0017684569445142995	68.0
xgb	0.78	0.07640180623733252	0.6333333333333333	0.10796969319455378	0.6568181818181819	0.018086873312595952	0.6837747035573123	0.03470912688912144	0.08338255882263183	0.011580345095312312	68.0
linear_svm	0.7121212121212122	0.07707193162642348	0.6074152236652237	0.1339852367843977	0.6795454545454545	0.09810532935260412	0.6980519480519479	0.10334152016818358	0.01083674430847168	0.00151704083472142	68.0
