model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
linear_svm	True	0.9	0.09999999999999998	0.8666666666666666	0.12638125740085918	0.75	0.7560606060606061	0.008941364288330079	55.0
logreg	True	0.8800000000000001	0.10954451150103317	0.8166666666666667	0.18066236157232335	0.78	0.7673737373737374	0.011509227752685546	55.0
elasticnet	True	0.8800000000000001	0.13038404810405296	0.8566666666666667	0.13924399049470285	0.78	0.7673737373737374	0.017978572845458986	55.0
xgb	True	0.8800000000000001	0.16431676725154984	0.8233333333333333	0.22472205054244232	0.6799999999999999	0.6712121212121211	0.04772067070007324	55.0
catboost	True	0.8400000000000001	0.2073644135332772	0.79	0.2602349365904244	0.53	0.4878787878787879	0.19245996475219726	55.0
