model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
catboost	True	0.9666666666666666	0.07453559924999298	0.95	0.11180339887498948	0.9	0.9179487179487179	0.21432714462280272	61.0
linear_svm	True	0.9166666666666667	0.062112999374994135	0.8733333333333333	0.09324400487132908	0.7833333333333333	0.7944855144855145	0.009232187271118164	61.0
logreg	True	0.9	0.13833221775543034	0.8899999999999999	0.137234592334926	0.7833333333333333	0.7978188478188478	0.01148691177368164	61.0
xgb	True	0.9	0.14907119849998596	0.85	0.20749832663314557	0.9	0.9021911421911423	0.04688506126403809	61.0
elasticnet	True	0.8944444444444445	0.18044868632124128	0.9019047619047619	0.15589693670910745	0.8666666666666666	0.8812820512820514	0.023318099975585937	61.0
