model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
catboost	True	0.8398484848484848	0.05351402758008458	0.7108333333333332	0.09683653656969976	0.6468181818181817	0.6695407491059665	0.2743960380554199	68.0
elasticnet	True	0.8363636363636363	0.11961543060855244	0.7029166666666666	0.18341643739363392	0.677878787878788	0.6855797101449275	0.029714012145996095	68.0
xgb	True	0.8237878787878788	0.08474628585385834	0.6146825396825396	0.17247759210483452	0.6601515151515152	0.6790706839562675	0.07773766517639161	68.0
logreg	True	0.8186363636363637	0.13233050909130378	0.6707142857142857	0.22226657720608273	0.7121212121212122	0.7220026350461133	0.011781024932861327	68.0
linear_svm	True	0.7636363636363637	0.08560941264555541	0.6215949328449328	0.17417836593714314	0.6787878787878788	0.6880171277997364	0.009906911849975586	68.0
