run_name	model	fold	n_train	n_test	n_features_selected	roc_auc	pr_auc	balanced_accuracy	macro_f1	runtime_s
kong_donor_cluster_props_baselines	logreg	0	56	15	68	0.75	0.7269230769230769	0.7840909090909092	0.7619047619047619	0.012950420379638672
kong_donor_cluster_props_baselines	linear_svm	0	56	15	68	0.75	0.615909090909091	0.7840909090909092	0.7619047619047619	0.010088682174682617
kong_donor_cluster_props_baselines	xgb	0	56	15	68	0.7954545454545454	0.525	0.6590909090909092	0.6590909090909092	0.10342144966125488
kong_donor_cluster_props_baselines	logreg	1	57	14	68	0.8181818181818181	0.6805555555555556	0.6666666666666666	0.7083333333333333	0.011195898056030273
kong_donor_cluster_props_baselines	linear_svm	1	57	14	68	0.5757575757575758	0.5380952380952381	0.6666666666666666	0.7083333333333333	0.010495185852050781
kong_donor_cluster_props_baselines	xgb	1	57	14	68	0.7878787878787878	0.6666666666666666	0.6666666666666666	0.7083333333333333	0.07555317878723145
kong_donor_cluster_props_baselines	logreg	2	57	14	68	0.7878787878787878	0.4666666666666667	0.8181818181818181	0.6888888888888889	0.01064300537109375
kong_donor_cluster_props_baselines	linear_svm	2	57	14	68	0.7272727272727273	0.4206349206349206	0.5303030303030303	0.5238095238095237	0.00998687744140625
kong_donor_cluster_props_baselines	xgb	2	57	14	68	0.8181818181818181	0.6428571428571428	0.6666666666666666	0.7083333333333333	0.07715344429016113
kong_donor_cluster_props_baselines	logreg	3	57	14	68	0.9090909090909091	0.8333333333333333	0.8333333333333333	0.8782608695652174	0.011320352554321289
kong_donor_cluster_props_baselines	linear_svm	3	57	14	68	0.7575757575757576	0.7575757575757576	0.6666666666666666	0.7083333333333333	0.010085105895996094
kong_donor_cluster_props_baselines	xgb	3	57	14	68	0.8484848484848484	0.7916666666666666	0.6666666666666666	0.7083333333333333	0.07748746871948242
kong_donor_cluster_props_baselines	logreg	4	57	14	68	0.825	0.7611111111111111	0.7	0.7142857142857142	0.014982461929321289
kong_donor_cluster_props_baselines	linear_svm	4	57	14	68	0.75	0.7048611111111112	0.75	0.7878787878787878	0.013527870178222656
kong_donor_cluster_props_baselines	xgb	4	57	14	68	0.65	0.5404761904761904	0.625	0.6347826086956522	0.0832972526550293
