dataset	fold	auroc	pr_auc	n_train	n_test
kong2023	0	0.4318181818181818	0.29642857142857143	56	15
kong2023	1	0.5151515151515151	0.33164983164983164	57	14
kong2023	2	0.7878787878787878	0.4444444444444445	57	14
kong2023	3	0.7272727272727272	0.6464646464646464	57	14
kong2023	4	0.675	0.48541666666666666	57	14
