dataset	setting	mean_auroc	std_auroc	mean_pr_auc	n_folds
scp259	within_cv_4types	0.8833333333333334	0.0706014723729935	0.9244444444444445	5
kong2023	within_cv_4types	0.6274242424242423	0.1333009602572676	0.44088083213083207	5
SCP259_UC→Kong2023_CD	cross_dataset	0.5577342047930284		0.31901827138698213	1
Kong2023_CD→SCP259_UC	cross_dataset	0.7546296296296297		0.884728840450612	1
