direction	train_dataset	test_dataset	auroc	pr_auc	n_train	n_test
SCP259_UC_to_Kong2023_CD	SCP259_UC	Kong2023_CD	0.5577342047930284	0.31901827138698213	30	71
Kong2023_CD_to_SCP259_UC	Kong2023_CD	SCP259_UC	0.7546296296296297	0.884728840450612	71	30
