model	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	balanced_accuracy_std	macro_f1_mean	macro_f1_std	runtime_mean_s	runtime_std_s	n_features_selected_mean
xgb	0.9305555555555556	0.10111263735111828	0.9511111111111111	0.08419920529814699	0.8916666666666666	0.16562172428626495	0.8628571428571428	0.2235155110355194	0.035759782791137694	0.024731162247955928	60.0
linear_svm	0.9	0.22360679774997896	0.9358333333333334	0.1434810285562365	0.8333333333333333	0.2041241452319315	0.8285714285714285	0.20995626366712958	0.009019899368286132	0.00020712355227877155	60.0
logreg	0.9	0.22360679774997896	0.9358333333333334	0.1434810285562365	0.8416666666666666	0.20497289793748072	0.7814285714285714	0.30919579689304727	0.010950326919555664	0.0009426298619991132	60.0
