model	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	balanced_accuracy_std	macro_f1_mean	macro_f1_std	runtime_mean_s	runtime_std_s	n_features_selected_mean
logreg	0.7805555555555556	0.24343224778007386	0.8791666666666667	0.13533651474093097	0.7583333333333333	0.19632031648982912	0.7535714285714286	0.20015937527431504	0.009314346313476562	0.0008982426280125132	20.0
linear_svm	0.7527777777777778	0.32010800646417625	0.8758333333333332	0.16165377955508634	0.5583333333333333	0.08122328620674134	0.5021428571428571	0.1426198425925852	0.00806894302368164	0.00024573933757494155	20.0
xgb	0.6833333333333333	0.2922282952474142	0.8027777777777777	0.15901109810635122	0.725	0.19454362549881252	0.7128571428571429	0.20178729455765534	0.0613706111907959	0.011372356545316755	20.0
