model	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	balanced_accuracy_std	macro_f1_mean	macro_f1_std	runtime_mean_s	runtime_std_s	n_features_selected_mean
xgb	0.725	0.3992179855667828	0.8675	0.19526513314522442	0.6916666666666667	0.28198207192814384	0.6748412698412698	0.3261320092041926	0.13026199340820313	0.2409696602772166	20.0
linear_svm	0.7055555555555555	0.3051449261022145	0.8424999999999999	0.1469717470959791	0.4833333333333333	0.23124061542519345	0.4341269841269841	0.2743495938988457	0.008451366424560547	0.00024355882139939666	20.0
logreg	0.7055555555555555	0.3272594772227364	0.8491666666666667	0.16578935765335218	0.625	0.31180478223116176	0.5942857142857143	0.3523552114150405	0.010006380081176759	0.0006705750970128426	20.0
