region	fold	model	auroc	pr_auc	n_train	n_test
TI	0	GatedStructuralCFN	0.888888888888889	0.8666666666666667	33	9
TI	1	GatedStructuralCFN	1.0	1.0	33	9
TI	2	GatedStructuralCFN	0.9166666666666667	0.8333333333333333	34	8
TI	3	GatedStructuralCFN	0.5833333333333333	0.6428571428571428	34	8
TI	4	GatedStructuralCFN	0.6666666666666667	0.41666666666666663	34	8
