region	model	apply_clr	n_epochs	n_folds	mean_auroc	std_auroc	mean_pr_auc	std_pr_auc
all	GatedStructuralCFN	True	300	5	0.8218181818181819	0.1262340371673884	0.6322691197691197	0.20661355785313165
TI	GatedStructuralCFN	True	300	5	0.8111111111111111	0.17721264341929538	0.7519047619047619	0.22673118329523634
colon	GatedStructuralCFN	True	300	5	0.96	0.0547722557505166	0.9333333333333332	0.09128709291752772
