feature	importance	model	run_name
CD8+ IELs	-0.06620696845501753	linear_svm	kong_cross_dataset_composition
CD8+ IL17+	0.06578089734791005	linear_svm	kong_cross_dataset_composition
WNT2B+ Fos-lo 1	-0.05930647183806073	linear_svm	kong_cross_dataset_composition
Follicular	0.05905711533459168	linear_svm	kong_cross_dataset_composition
Myofibroblasts	0.05548174948992627	linear_svm	kong_cross_dataset_composition
CD4+ Activated Fos-lo	-0.054106899396047015	linear_svm	kong_cross_dataset_composition
WNT5B+ 1	0.05138343232810399	linear_svm	kong_cross_dataset_composition
Immature Goblet	0.050394238593664584	linear_svm	kong_cross_dataset_composition
Cycling TA	-0.049718902884353336	linear_svm	kong_cross_dataset_composition
CD4+ Activated Fos-hi	0.04193727844563046	linear_svm	kong_cross_dataset_composition
Macrophages	0.03656544440334309	linear_svm	kong_cross_dataset_composition
TA 1	0.029033691383659826	linear_svm	kong_cross_dataset_composition
RSPO3+	-0.027771696076521978	linear_svm	kong_cross_dataset_composition
Secretory TA	0.023013275119286195	linear_svm	kong_cross_dataset_composition
WNT2B+ Fos-lo 2	0.021043119592364566	linear_svm	kong_cross_dataset_composition
CD69- Mast	-0.019364380712913767	linear_svm	kong_cross_dataset_composition
Tuft	-0.01668109683450008	linear_svm	kong_cross_dataset_composition
Endothelial	-0.016131066812207665	linear_svm	kong_cross_dataset_composition
Goblet	-0.01588671304673551	linear_svm	kong_cross_dataset_composition
CD8+ LP	0.015187819322313539	linear_svm	kong_cross_dataset_composition
ILCs	-0.01431291752226062	linear_svm	kong_cross_dataset_composition
DC2	0.009150818800059446	linear_svm	kong_cross_dataset_composition
WNT5B+ 2	-0.0022728639293144604	linear_svm	kong_cross_dataset_composition
Plasma	-0.0018208831946150558	linear_svm	kong_cross_dataset_composition
Immature Enterocytes 1	0.09924224019050598	xgb	kong_cross_dataset_composition
Pericytes	0.09278389811515808	xgb	kong_cross_dataset_composition
Inflammatory Fibroblasts	0.0820634737610817	xgb	kong_cross_dataset_composition
Myofibroblasts	0.0717647522687912	xgb	kong_cross_dataset_composition
Enteroendocrine	0.05194075405597687	xgb	kong_cross_dataset_composition
Glia	0.051886897534132004	xgb	kong_cross_dataset_composition
Cycling T	0.04928098991513252	xgb	kong_cross_dataset_composition
CD69+ Mast	0.0431356318295002	xgb	kong_cross_dataset_composition
Best4+ Enterocytes	0.04305156692862511	xgb	kong_cross_dataset_composition
Enterocyte Progenitors	0.04295093193650246	xgb	kong_cross_dataset_composition
NKs	0.04261489585042	xgb	kong_cross_dataset_composition
Enterocytes	0.03471001610159874	xgb	kong_cross_dataset_composition
CD4+ PD1+	0.03326413035392761	xgb	kong_cross_dataset_composition
Cycling Monocytes	0.03169703856110573	xgb	kong_cross_dataset_composition
CD8+ IL17+	0.031226415187120438	xgb	kong_cross_dataset_composition
Microvascular	0.029243430122733116	xgb	kong_cross_dataset_composition
CD4+ Activated Fos-lo	0.02662459760904312	xgb	kong_cross_dataset_composition
DC1	0.02306296117603779	xgb	kong_cross_dataset_composition
ILCs	0.022436508908867836	xgb	kong_cross_dataset_composition
Inflammatory Monocytes	0.01946999691426754	xgb	kong_cross_dataset_composition
