feature	importance	model	run_name
Macrophages	0.11187686576772843	linear_svm	kong_cross_dataset_composition_noclr
CD4+ Activated Fos-hi	-0.1063435081804089	linear_svm	kong_cross_dataset_composition_noclr
CD8+ LP	0.10526943858246975	linear_svm	kong_cross_dataset_composition_noclr
Goblet	-0.10376383363931359	linear_svm	kong_cross_dataset_composition_noclr
Cycling B	0.09717022373086025	linear_svm	kong_cross_dataset_composition_noclr
WNT2B+ Fos-lo 2	0.08623266569286571	linear_svm	kong_cross_dataset_composition_noclr
Pericytes	0.07497830480405622	linear_svm	kong_cross_dataset_composition_noclr
Plasma	-0.06882603580429396	linear_svm	kong_cross_dataset_composition_noclr
Best4+ Enterocytes	-0.044913720644045516	linear_svm	kong_cross_dataset_composition_noclr
Microvascular	-0.04150095610309068	linear_svm	kong_cross_dataset_composition_noclr
Glia	-0.04107822469473376	linear_svm	kong_cross_dataset_composition_noclr
Tuft	-0.04004245884784858	linear_svm	kong_cross_dataset_composition_noclr
TA 2	-0.03922966781858835	linear_svm	kong_cross_dataset_composition_noclr
CD8+ IL17+	0.03716579798047126	linear_svm	kong_cross_dataset_composition_noclr
GC	0.03626808584095773	linear_svm	kong_cross_dataset_composition_noclr
DC2	-0.02792227562277183	linear_svm	kong_cross_dataset_composition_noclr
M cells	0.02754153960656271	linear_svm	kong_cross_dataset_composition_noclr
WNT5B+ 2	0.02730497563021192	linear_svm	kong_cross_dataset_composition_noclr
Cycling Monocytes	-0.026672075447968735	linear_svm	kong_cross_dataset_composition_noclr
Enteroendocrine	0.024672889034270583	linear_svm	kong_cross_dataset_composition_noclr
WNT2B+ Fos-hi	-0.022880943218380308	linear_svm	kong_cross_dataset_composition_noclr
CD4+ PD1+	0.022388635751939442	linear_svm	kong_cross_dataset_composition_noclr
Stem	-0.021863068306161974	linear_svm	kong_cross_dataset_composition_noclr
MT-hi	-0.020232854741396494	linear_svm	kong_cross_dataset_composition_noclr
RSPO3+	-0.019577495571420623	linear_svm	kong_cross_dataset_composition_noclr
