model	auroc	pr_auc	accuracy	f1_macro	n_train	n_test	run_name
logreg	0.7407	0.8464	0.4	0.2857	71	30	kong_reverse_cross_dataset
linear_svm	0.7639	0.8653	0.4	0.2857	71	30	kong_reverse_cross_dataset
xgb	0.8333	0.8462	0.4	0.2857	71	30	kong_reverse_cross_dataset
