model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
elasticnet	True	0.8433333333333334	0.09459449000352313	0.7001068376068377	0.1874595285358337	0.6928787878787879	0.6848945981554677	0.016418981552124023	43.0
logreg	True	0.8387878787878786	0.10055858682756368	0.6882142857142857	0.19919338476753537	0.7028787878787879	0.6977517410126106	0.03947196006774902	43.0
linear_svm	True	0.8327272727272726	0.10299464623635396	0.6815476190476191	0.20745392625658926	0.7028787878787879	0.7129983060417843	0.00917205810546875	43.0
xgb	True	0.8095454545454546	0.09537574910315552	0.6438888888888888	0.1881357534558358	0.646969696969697	0.6357272727272727	0.06508822441101074	43.0
catboost	True	0.7468181818181818	0.12190427381469586	0.5806227106227106	0.17621595867607506	0.6068181818181818	0.5941989459815546	0.7739500522613525	43.0
