model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
logreg	True	0.9166666666666667	0.062112999374994135	0.8733333333333333	0.09324400487132908	0.8	0.7806626706626707	0.07364025115966796	41.0
linear_svm	True	0.9111111111111111	0.08425417160057275	0.8733333333333334	0.12505554321536047	0.7666666666666667	0.7653946053946055	0.01359105110168457	41.0
elasticnet	True	0.8777777777777779	0.1383322177554303	0.8344444444444445	0.1748191305179777	0.8166666666666668	0.8007925407925407	0.023372411727905273	41.0
catboost	True	0.8166666666666668	0.14907119849998596	0.75	0.2204792759220492	0.7833333333333334	0.7645288045288046	0.2975900650024414	41.0
xgb	True	0.8055555555555556	0.19043485001114008	0.7466666666666667	0.2652043237455478	0.6833333333333333	0.6703962703962704	0.05157790184020996	41.0
