model	clr	roc_auc_mean	roc_auc_std	pr_auc_mean	pr_auc_std	balanced_accuracy_mean	macro_f1_mean	runtime_mean_s	n_features_mean
catboost	True	0.82	0.2949576240750525	0.7952380952380953	0.28402277063707904	0.53	0.4878787878787879	0.3013166427612305	32.0
elasticnet	True	0.82	0.19235384061671343	0.8119047619047619	0.13106056137640842	0.71	0.7009090909090909	0.010139989852905273	32.0
xgb	True	0.82	0.30331501776206204	0.8119047619047619	0.30098101129639016	0.6900000000000001	0.6553030303030303	0.06225423812866211	32.0
linear_svm	True	0.78	0.17888543819998318	0.7333333333333333	0.20749832663314557	0.6799999999999999	0.6542424242424243	0.00832977294921875	32.0
logreg	True	0.78	0.19235384061671346	0.7	0.24008100484813225	0.6599999999999999	0.6266666666666667	0.009919834136962891	32.0
